mission,twitter,country,details
Canada in Atlanta,CanCGAtlanta,United States,Consulate General of Canada to Atlanta
Canada in Boston,CanCGBoston,United States,Consulate General of Canada to Boston
Canada in Chicago,CanCGChicago,United States,Consulate General of Canada to Chicago
Canada in Dallas,CanCGDallas,United States,Consulate General of Canada to Dallas
Canada in Denver,CanCGDenver,United States,Consulate General of Canada to Denver
Canada in Detroit,CanCGDetroit,United States,Consulate General of Canada to Detroit
Canada in Los Angeles,CanCGLA,United States,Consulate General of Canada to Los Angeles
Canada in Miami,CanCGMiami,United States,Consulate General of Canada to Miami
Canada in Minneapolis,CanCGMPLS,United States,Consulate General of Canada to Minneapolis
Canada in New York,CanadaNY,United States,Consulate General of Canada to New York
Canada in San Francisco,CanCGSF,United States,Consulate General of Canada to San Francisco
Canada in Seattle,CanCGSeattle,United States,Consulate General of Canada to Seattle
Canada in Washington DC,CanEmbUSA,United States,Embassy of Canada to Washington DC
Canada in Argentina,CanadaArgentina,Argentina,Embassy of Canada to Argentina
Canada in Barbados,CanHCBarbados,Barbados,Canadian High Commission in Barbados
Canada in Bolivia,CanadaBolivia,Bolivia,Canada in Bolivia
Canada in Brazil,CanadaBrazil,Brazil,Embassy of Canada to Brazil
Canada in Chile,CanEmbChile,Chile,Embassy of Canada to Chile
Canada in Colombia,CanadaColombia,Colombia,Embassy of Canada to Colombia
Canada in Cuba,CanEmbCuba,Cuba,Embassy of Canada to Cuba
Canada in Dominican Republic,CanEmbDR,Dominican Republic,Embassy of Canada to Dominican Republic
Canada in Ecuador,CanadaEcuador,Ecuador,Embassy of Canada to Ecuador
Canada in El Salvador,CanEmbSV,El Salvador,Embassy of Canada to El Salvador
Canada in Guatemala,CanEmbGuatemala,Guatemala,Embassy of Canada to Guatemala
Canada in Guyana,CanAmbGuyana,Guyana,High Commissioner of Canada in Guyana
Canada in Haiti,CanEmbHaiti,Haiti,Embassy of Canada to Haiti
Canada in Jamaica,CanadaJamaica,Jamaica,High Commission of Canada in Jamaica
Canada in Mexico,CanEmbMexico,Mexico,Embassy of Canada to Mexico
Canada in Panama,CanEmbPanama,Panama,Embassy of Canada to Panama
Canada in Paraguay,CanEmbParaguay,Paraguay,Embassy of Canada to Paraguay
Canada in Peru,CanadaPeru,Peru,Embassy of Canada to Peru
Canada in Uruguay,CanEmbUruguay,Uruguay,Embassy of Canada to Uruguay
Canada in Trinidad & Tobago,CanadaTandT,Trinidad & Tobago,High Commissioner of Canada in Trinidad & Tobago
Canada in Venezuela,CanEmbVenezuela,Venezuela,Embassy of Canada to Venezuela
Canada in Albania,CanadainAlbania,Albania,Canada in Albania
Canada in Austria,CanAmbAustria,Austria,Embassy of Canada to Austria
Canada in Belgium,CanEmbBeLux,Belgium,Embassy of Canada to Belgium and Luxembourg
Canada in Luxembourg,CanEmbBeLux,Luxembourg,Embassy of Canada to Belgium and Luxembourg
Canada in Bosnia and Herzegovina,CanadaBiH,Bosnia and Herzegovina,Canada in Bosnia and Herzegovina
Canada in Croatia,CanadaCroatia,Croatia,Embassy of Canada to Croatia
Canada in Cyprus,CanadaCyprus,Cyprus,Canada in Cyprus
Canada in Czech Republic,CanEmbCZ,Czech Republic,Embassy of Canada to Czech Republic
Canada in Denmark,CanadaDenmark,Denmark,Embassy of Canada to Denmark
Canada in Estonia,CanadaEstonia,Estonia,Embassy of Canada to Estonia
Canada in Finland,CanEmbFinland,Finland,Embassy of Canada to Finland
Canada in France,CanEmbFrance,France,Embassy of Canada to France
Canada in Geneva,CanConsulGeneva,Geneva,Consulate of Canada to Geneva
Canada in Germany,CanEmbGermany,Germany,Embassy of Canada to Germany
Canada in Greece,CanadaGreece,Greece,Embassy of Canada to Greece
Canada in Holy See,CanadaHolySee,Holy See,Embassy of Canada to the Holy See
Canada in Hungary,CanadaHungary,Hungary,Embassy of Canada to Hungary Slovenia and Bosnia and Herzegovina
Canada in Slovenia,CanadaHungary,Slovenia,Embassy of Canada to Hungary Slovenia and Bosnia and Herzegovina
Canada in Iceland,CanadaIceland,Iceland,Embassy of Canada to Iceland
Canada in Ireland,CanadaIreland,Ireland,Embassy of Canada to Ireland
Canada in Italy,CanadainItaly,Italy,Embassy of Canada to Italy
Canada in Latvia,CanadaLatvia,Latvia,Embassy of Canada to Latvia
Canada in Lithuania,CanadaLithuania,Lithuania,Embassy of Canada to Lithuania
