mission,twitter,country,details,type
Kabul,IndianEmbKabul,Afghanistan,Embassy of India in Kabul Afghanistan,Embassy
Herat,IndianConsHerat,Afghanistan,Consulate General of India in Herat Afghanistan,Consulate General
Jalalabad,IndianConsJalal,Afghanistan,Consulate General of India in Jalalabad Afghanistan,Consulate General
Khandahar,IndKandahar,Afghanistan,Consulate General of India in Khandahar Afghanistan,Consulate General
Mazar-e-Sharif,IndianConsMazar,Afghanistan,Consulate General of India in Mazar-e-Sharif Afghanistan,Consulate General
Algiers,indiainalgeria,Algeria,Embassy of India in Algiers Algeria,Embassy
Luanda,IndiainAngola,Angola,Embassy of India in Luanda Angola,Embassy
Buenos Aires,Indembarg,Argentina,Embassy of India in Buenos Aires Argentina,Embassy
Yerevan,IndiainArmenia,Armenia,Embassy of India in Yerevan Armenia,Embassy
Canberra,HCICanberra,Australia,High Commission of India in Canberra Australia,High Commission
Melbourne,cgimelbourne,Australia,Assistant High Commission of India in Melbourne Australia,Assistant High Commission
Sydney,cgisydney,Australia,Assistant High Commission of India in Sydney Australia,Assistant High Commission
Perth,CGIPerth,Australia,Consulate General of India in Perth Australia,Consulate General
Vienna,IndiainAustria,Austria,Embassy of India in Vienna Austria,Embassy
Baku,indembassybaku,Azerbaijan,Embassy of India in Baku Azerbaijan,Embassy
Manama,IndiaInBahrain,Bahrain,Embassy of India in Manama Bahrain,Embassy
Dhaka,ihcdhaka,Bangladesh,High Commission of India in Dhaka Bangladesh,High Commission
Chittagong,ahcichittagong,Bangladesh,Assistant High Commission of India in Chittagong Bangladesh,Assistant High Commission
Rajshahi,,Bangladesh,Assistant High Commission of India in Rajshahi Bangladesh,Assistant High Commission
Minsk,amb_in,Belarus,Embassy of India in Minsk Belarus,Embassy
Brussels,IndEmbassyBru,Belgium,Embassy of India in Brussels Belgium,Embassy
Thimphu,Indiainbhutan,Bhutan,Embassy of India in Thimphu Bhutan,Embassy
Phuntsholing,IndiainBhutanCG,Bhutan,Consulate General of India in Phuntsholing Bhutan,Consulate General
Gaborone,HCIGaborone,Botswana,High Commission of India in Gaborone Botswana,High Commission
Brasília,indiainbrazil,Brazil,Embassy of India in Brasília Brazil,Embassy
São Paulo,cgisaopaulo,Brazil,Consulate General of India in São Paulo Brazil,Consulate General
Bandar Seri Begawan,hicomindBrunei,Brunei,High Commission of India in Bandar Seri Begawan Brunei,High Commission
Sofia,IndiaInBulgaria,Bulgaria,Embassy of India in Sofia Bulgaria,Embassy
Phnom Penh,indembcam,Cambodia,Embassy of India in Phnom Penh Cambodia,Embassy
Ottawa,HCI_Ottawa,Canada,High Commission of India in Ottawa Canada,High Commission
Toronto,IndiainToronto,Canada,Assistant High Commission of India in Toronto Canada,Assistant High Commission
Vancouver,cgivancouver,Canada,Assistant High Commission of India in Vancouver Canada,Assistant High Commission
Santiago de Chile,Indembchile,Chile,Embassy of India in Santiago de Chile Chile,Embassy
Bogotá,IndiaEmbBogota,Colombia,Embassy of India in Bogotá Colombia,Embassy
Zagreb,India_Croatia,Croatia,Embassy of India in Zagreb Croatia,Embassy
Havana,EOIHavana,Cuba,Embassy of India in Havana Cuba,Embassy
Nicosia,HCI_Nicosia,Cyprus,High Commission of India in Nicosia Cyprus,High Commission
Prague,IndiaCzech,Czech Republic,Embassy of India in Prague Czech Republic,Embassy
Kinshasa,IndiainDRC,Democratic Republic of the Congo,Embassy of India in Kinshasa Democratic Republic of the Congo,Embassy
Copenhagen,IndiainDenmark,Denmark,Embassy of India in Copenhagen Denmark,Embassy
Cairo,indembcairo,Egypt,Embassy of India in Cairo Egypt,Embassy
Addis Ababa,IndiaInEthiopia,Ethiopia,Embassy of India in Addis Ababa Ethiopia,Embassy
Suva,HCI_Suva,Fiji,High Commission of India in Suva Fiji,High Commission
Helsinki,IndEmbFinEst,Finland,Embassy of India in Helsinki Finland,Embassy
Paris,Indian_Embassy,France,Embassy of India in Paris France,Embassy
Saint Denis Réunion Island,consulat_l,France,Consulate General of India in Saint Denis Réunion Island France,Consulate General
Paris,IndiaatUNESCO,France,Permanent Delegation of India in Paris France,Permanent Delegation
Berlin,eoiberlin,Germany,Embassy of India in Berlin Germany,Embassy
Frankfurt,CGIFrankfurt,Germany,Consulate General of India in Frankfurt Germany,Consulate General
Hamburg,IndiainHamburg,Germany,Consulate General of India in Hamburg Germany,Consulate General
Munich,cgmunich,Germany,Consulate General of India in Munich Germany,Consulate General
Accra,HCI_Accra,Ghana,High Commission of India in Accra Ghana,High Commission
Athens,EmbIndiaAthens,Greece,Embassy of India in Athens Greece,Embassy
Guatemala City,IndiaInGuate,Guatemala,Embassy of India in Guatemala City Guatemala,Embassy
Georgetown,IndiainGuyana,Guyana,High Commission of India in Georgetown Guyana,High Commission
Budapest,IndiaInHungary,Hungary,Embassy of India in Budapest Hungary,Embassy
Reykjavík,indembiceland,Iceland,Embassy of India in Reykjavík Iceland,Embassy
Jakarta,IndianEmbJkt,Indonesia,Embassy of India in Jakarta Indonesia,Embassy
Medan,indiainmedan,Indonesia,Consulate General of India in Medan Indonesia,Consulate General
Bali,cgibali,Indonesia,Consulate General of India in Bali Indonesia,Consulate General
Tehran,,Iran,Embassy of India in Tehran Iran,Embassy
Zahedan,,Iran,Consulate General of India in Zahedan Iran,Consulate General
Bandar Abbas,,Iran,Consulate of India in Bandar Abbas Iran,Consulate
Baghdad,EI_Baghdad,Iraq,Embassy of India in Baghdad Iraq,Embassy
Erbil,IndiaInErbil,Iraq,Consulate General of India in Erbil Iraq,Consulate General
Dublin,IndiainIreland,Ireland,Embassy of India in Dublin Ireland,Embassy
Tel Aviv,indemtel,Israel,Embassy of India in Tel Aviv Israel,Embassy
Rome,IndiainItaly,Italy,Embassy of India in Rome Italy,Embassy
Milan,,Italy,Consulate General of India in Milan Italy,Consulate General
Abidjan,EOIIvoryCoast,Ivory Coast,Embassy of India in Abidjan Ivory Coast,Embassy
Kingston,hcikingston,Jamaica,High Commission of India in Kingston Jamaica,High Commission
Tokyo,IndianEmbTokyo,Japan,Embassy of India in Tokyo Japan,Embassy
Osaka,IndianConsOsaka,Japan,Consulate General of India in Osaka Japan,Consulate General
Amman,IndiainJordan,Jordan,Embassy of India in Amman Jordan,Embassy
Astana,indembastana,Kazakhstan,Embassy of India in Astana Kazakhstan,Embassy
Nairobi,IndiainKenya,Kenya,High Commission of India in Nairobi Kenya,High Commission
Mombasa,ahcimombasa,Kenya,Assistant High Commission of India in Mombasa Kenya,Assistant High Commission
Kuwait City,indembkwt,Kuwait,Embassy of India in Kuwait City Kuwait,Embassy
Bishkek,IndiaInKyrgyz,Kyrgyzstan,Embassy of India in Bishkek Kyrgyzstan,Embassy
Vientiane,IndianEmbLaos,Laos,Embassy of India in Vientiane Laos,Embassy
Beiruit,IndiaInLebanon,Lebanon,Embassy of India in Beiruit Lebanon,Embassy
Tripoli,IndEmbTripoli,Libya,Embassy of India in Tripoli Libya,Embassy
Antananarivo,IndembTana,Madagascar,Embassy of India in Antananarivo Madagascar,Embassy
Lilongwe,India_in_Malawi,Malawi,High Commission of India in Lilongwe Malawi,High Commission
